closedprices,olhc4_filter,olhc4_filter2
7242.7,7244.822893821838,7243.497013040493
7240.4,7244.402166392143,7242.660335729356
7237.2,7243.717060876057,7241.185192113166
7239.9,7243.353963258058,7240.837989480346
7241.2,7243.149067671204,7240.935788870993
7242.9,7243.125375128415,7241.466432708921
7242.4,7243.056373875924,7241.718641711806
7242.9,7243.041498823178,7242.037792991808
7243.4,7243.07560121965,7242.405801676926
7243.4,7243.106459628319,7242.674390529736
7242.2,7243.0202327269035,7242.546230981275
7242.2,7242.942208152757,7242.452694530941
7240.9,7242.747943261575,7242.033224458268
7243.9,7242.857532568925,7242.537545467037
7244.4,7243.004259662951,7243.040699128445
7245.2,7243.2131292911845,7243.624047672196
7242.2,7243.116755446413,7243.239332347551
7243.2,7243.124674078077,7243.228706469532
7243.9,7243.198426895903,7243.410060586777
7244.7,7243.341263920266,7243.7585457321975
7246.9,7243.679788412172,7244.607229116955
7245.2,7243.824398420846,7244.767369853226
7243.4,7243.784027554178,7244.3979663934515
7244.9,7243.89018434601,7244.533593890829
7248.7,7244.347717684797,7245.659174382402
7253.4,7245.208815333704,7247.750406508011
7256.9,7246.320938362851,7250.222226025972
7260.4,7247.66020800253,7252.971814888081
7259.7,7248.805492276855,7254.789475890689
7259.4,7249.813293997357,7256.035037618803
7257.2,7250.515953829492,7256.34975944268
7255.7,7251.009085816963,7256.174222893018
7260.9,7251.9499582568615,7257.45092093439
7263.2,7253.0201175998645,7259.0040703565055
7262.9,7253.959940642275,7260.05657995071
7259.9,7254.524988325191,7260.014278904371
7262.9,7255.321660657276,7260.793874384084
7259.9,7255.757174830016,7260.552388666591
7257.4,7255.913448446126,7259.700751286077
7259.9,7256.292668851627,7259.754579563851
7264.7,7257.092415571114,7261.090615614993
7258.9,7257.26436189887,7260.49880719878
7258.9,7257.419951845615,7260.066879502444
7259.2,7257.589278787408,7259.832686619914
7253.4,7257.190773969634,7258.094856370521
7257.9,7257.258239040434,7258.042214711601
7257.4,7257.271724040652,7257.868716417907
7255.9,7257.141238898317,7257.336855448196
7255.4,7256.975603683979,7256.813601917368
7253.9,7256.683037123522,7256.0264742604695
7252.4,7256.275613551342,7255.046759711811
7251.7,7255.840358669294,7254.142611786024
7251.9,7255.465532358334,7253.536756281213
7256.4,7255.554423519833,7254.310279357946
7258.4,7255.825108760476,7255.415142794216
7258.4,7256.070045088723,7256.221520509908
7259.2,7256.367781805436,7257.026175246089
7259.9,7256.703783785583,7257.802556855188
7258.2,7256.846111236234,7257.909928589625
7260.9,7257.231737088572,7258.717714955078
7260.7,7257.561655327402,7259.253241573664
7259.7,7257.765065197534,7259.373936137745
7262.4,7258.205963008966,7260.191446087653
7263.4,7258.70004537246,7261.058256858199
7259.4,7258.7666285017895,7260.610268467078
7260.9,7258.969565299095,7260.688541240472
7264.9,7259.533697437281,7261.826292985399
7260.7,7259.644641877556,7261.522017939006
7261.4,7259.811620181987,7261.489054034824
7260.4,7259.867589766265,7261.194839322253
7258.9,7259.775547865248,7260.5748742240985
7259.2,7259.720798919475,7260.203443411916
7256.2,7259.385883196979,7259.12188830531
7257.9,7259.244538673806,7258.791787589417
7256.4,7258.9739521544125,7258.145631314658
7258.9,7258.966917461495,7258.349428701044
7260.2,7259.084214341756,7258.849372032969
7263.2,7259.475728131351,7260.024721203805
7265.2,7260.020249046206,7261.422854918765
7266.7,7260.655659834481,7262.848508443408
7265.9,7261.154527283524,7263.672887842895
7267.2,7261.729602403965,7264.625759102105
7269.7,7262.487785853378,7265.996596801205
7269.2,7263.126284700338,7266.862016074489
7265.7,7263.371109167398,7266.548090213671
7270.4,7264.039731859402,7267.588707570017
7269.2,7264.530601963634,7268.024008229118
7272.4,7265.279177837813,7269.2062095891215
7272.2,7265.937520505977,7270.015000665662
7275.7,7266.866175606104,7271.55083855032
7274.7,7267.611367540319,7272.401604078138
7273.9,7268.20957321236,7272.806405044272
7275.9,7268.941124460469,7273.642158938576
7273.9,7269.412837109238,7273.711816302995
7276.2,7270.058465449637,7274.384014585019
7276.7,7270.690240905518,7275.00969243148
7278.2,7271.404606153413,7275.871573838897
7279.2,7272.146142384814,7276.770768842075
7280.4,7272.931289946431,7277.751228183706
7280.7,7273.670287884104,7278.54785720727
7281.4,7274.405576145999,7279.31838129987
7279.4,7274.880670325408,7279.340431098715
7279.7,7275.339108684663,7279.437570870993
7279.4,7275.725400654173,7279.4274208668085
7278.7,7276.008359184844,7279.230903600995
7279.7,7276.359526229337,7279.357632907153
7278.7,7276.58216361415,7279.179969292154
7274.2,7276.355560486229,7277.834599652949
7275.2,7276.245637885141,7277.1228461909095
7274.9,7276.117634186314,7276.5223304844
7275.2,7276.030344305941,7276.165094689893
7274.9,7275.922820392037,7275.823321500812
7274.9,7275.825524682052,7275.573880461813
7277.7,7276.003834000411,7276.148264862236
7279.9,7276.374456487114,7277.161819415
7277.7,7276.500548710348,7277.307212243146
7277.2,7276.5670839597,7277.278248189671
7277.9,7276.693877494029,7277.446218303474
7277.7,7276.789584818905,7277.51477900525
7279.2,7277.018875374928,7277.970051925358
7278.9,7277.197817208109,7278.221283174441
7280.2,7277.483399611935,7278.7558458164
7276.4,7277.380341308384,7278.119399434888
7276.7,7277.315623894509,7277.735939860426
7276.7,7277.25706271958,7277.456074272006
7275.7,7277.108947249873,7276.9816598989155
7272.2,7276.641984025762,7275.6898647741655
7274.2,7276.409690485853,7275.287368550576
7275.4,7276.31364375717,7275.31779663629
7275.4,7276.226733466058,7275.340004385633
7275.2,7276.129065525213,7275.302181331164
7274.9,7276.012150763028,7275.193529546252
7275.4,7275.95391996946,7275.2493088219
7276.2,7275.977328313164,7275.506143949235
7275.9,7275.969972463408,7275.612546607932
7277.2,7276.086978736851,7276.0414070028555
7275.4,7276.021629938111,7275.868126916696
7276.2,7276.0385973763305,7275.957784491704
7274.2,7275.863700944368,7275.482908092138
7274.9,7275.772028967231,7275.325431850097
7273.7,7275.574927373398,7274.886311338819
7276.7,7275.681949819217,7275.376290597038
7279.7,7276.064166529146,7276.544367550576
7279.9,7276.42904988876,7277.450912501546
7278.7,7276.645073840896,7277.788361248424
7277.2,7276.697861148481,7277.629411802338
7278.2,7276.840751989524,7277.783559748357
7280.4,7277.179325178801,7278.490407335329
7279.7,7277.419104174486,7278.817186307524
7281.2,7277.778761594875,7279.460918228279
7281.2,7278.104206631211,7279.9307419718625
7280.9,7278.370156257269,7280.192593049071
7279.2,7278.449095078546,7279.924437871004
7277.4,7278.349299991058,7279.242445298668
7278.2,7278.335097841058,7278.960822225697
7277.7,7278.2746842084825,7278.620203269359
7277.7,7278.220017417992,7278.371604639957
7276.9,7278.094450864102,7277.974041505053
7274.9,7277.790578974909,7277.143570096911
7271.2,7277.163650664167,7275.537877714536
7268.9,7276.37757153953,7273.7446138163095
7265.7,7275.361868379977,7271.571311421725
7264.2,7274.300096521264,7269.579905851506
7264.9,7273.405913073145,7268.315600214747
7265.7,7272.672888693335,7267.60897956896
7269.4,7272.361555411757,7268.0928348639945
7265.9,7271.746900457392,7267.500426903877
7262.7,7270.88631475729,7266.203561756159
7265.2,7270.345404509691,7265.932443313735
7264.2,7269.760823385218,7265.464412990814
7264.4,7269.250875478991,7265.176855209348
7266.7,7269.00822364809,7265.588342236123
7265.7,7268.693529131698,7265.618507274638
7267.4,7268.570482273975,7266.099788600799
7269.4,7268.649390082938,7266.991361210783
7268.7,7268.65420434735,7267.452960593535
7267.7,7268.563435733263,7267.519699823769
7266.2,7268.338614093549,7267.163174718572
7266.2,7268.135178594771,7266.902967085232
7266.4,7267.970119866335,7266.76708740279
7266.4,7267.820762336562,7266.667916460627
7267.4,7267.780737352128,7266.865693376397
7268.4,7267.839644663188,7267.2801958416785
7269.9,7268.035635803838,7267.987952208936
7271.9,7268.403233146471,7269.04481622083
7273.7,7268.90708768012,7270.3024430361775
7271.2,7269.125200785638,7270.544923625463
7269.9,7269.198903500449,7270.370693501861
7267.4,7269.027782945333,7269.5681421987665
7270.2,7269.139290001192,7269.738842508789
7271.2,7269.335314879037,7270.133583281563
7270.4,7269.4365929680935,7270.205557412995
7270.9,7269.575799447817,7270.3931653916625
7271.9,7269.796888843992,7270.800246121368
7271.9,7269.996947128607,7271.0973514632105
7271.4,7270.130412423521,7271.179113845438
7271.4,7270.251181842671,7271.238787612209
7269.7,7270.198750712894,7270.82307458002
7270.7,7270.246432012219,7270.789825217704
7270.4,7270.261040155074,7270.684511513597
7270.2,7270.2552337150855,7270.553617718475
7268.9,7270.126317213683,7270.106882619768
7270.9,7270.199913728363,7270.321148206781
7271.2,7270.295046856918,7270.558575478033
7271.7,7270.4286929150285,7270.866938403025
7272.4,7270.61621334767,7271.28110451663
7270.9,7270.64320853083,7271.17814676409
7270.9,7270.667635799297,7271.103003687959
7271.9,7270.784864347731,7271.318317192496
7274.9,7271.176316305559,7272.285931051897
7274.4,7271.482968965457,7272.8570599105515
7274.4,7271.760451315009,7273.273894760262
7274.9,7272.059100638698,7273.713197191934
7274.2,7272.262753523392,7273.84470999449
7273.7,7272.399471482335,7273.805615690559
7270.4,7272.209271913592,7272.885567456507
7270.4,7272.0371650639845,7272.214075968105
7270.4,7271.881429865017,7271.723992076514
7268.4,7271.550259120754,7270.825994968832
7268.4,7271.250590967699,7270.170597358033
7269.2,7271.055528661899,7269.908384452534
7269.4,7270.898046627112,7269.771041234663
7269.4,7270.755545058597,7269.670802140258
7269.4,7270.6265989406675,7269.597643259879
7268.7,7270.443331366764,7269.355139357178
7268.9,7270.296522090923,7269.232180632569
7270.4,7270.306365418949,7269.547674289024
7271.9,7270.457959784124,7270.18316969219
